Unroll Loop Size,1 thread,2 threads,4 threads, threads 6,8 threads,16 threads,Max_threads
1,5548.587150,11823.195221,17659.262535,21231.762327,29564.172270,39803.769361,38204.663538
2,6780.362731,11082.234039,11759.627961,29283.382838,34911.607088,41957.011244,38974.578924
4,7112.105791,15241.365886,22704.323264,31341.006473,35477.649755,45514.730708,38771.477309
8,7310.700373,15547.805436,23645.076556,32170.811577,36292.611736,45458.672927,38795.570343
16,7277.537193,15612.334800,27032.051712,28612.173342,35463.621245,46183.563560,38372.175556
