Unroll Loop Size,1,2,4,8,16,56
1,5668.872305,7705.241147,19603.206786,21153.943883,72788.458723,131654.919452
2,7444.430497,8811.525866,24334.052053,40502.60839,88584.442921,130854.949524
4,7656.293811,14301.643786,23537.318298,27733.94304,57807.20022,133795.654972
8,7768.760037,16093.933658,26722.162182,36270.66097,60148.929196,133459.074158
16,7821.250222,14376.954731,27121.043391,51648.457658,45155.520711,134474.685486
